10
20 15
0 1 82
1 2 70
1 3 61
4 5 44
5 6 41
5 7 57
8 9 60
9 10 27
10 11 90
12 13 87
13 14 33
13 15 5
16 17 81
17 18 72
17 19 11
20 15
0 1 96
1 2 39
1 3 97
4 5 58
5 6 4
4 7 80
8 9 80
9 10 73
9 11 54
12 13 97
13 14 72
14 15 63
16 17 49
16 18 49
18 19 16
20 15
0 1 51
0 2 28
0 3 74
4 5 23
4 6 99
6 7 52
8 9 46
8 10 54
10 11 36
12 13 99
13 14 81
12 15 86
16 17 65
17 18 29
17 19 64
20 15
0 1 37
1 2 21
0 3 52
4 5 1
5 6 98
5 7 84
8 9 88
8 10 50
10 11 84
12 13 54
13 14 25
14 15 4
16 17 18
16 18 77
18 19 94
20 15
0 1 3
1 2 79
0 3 22
4 5 88
4 6 48
4 7 96
8 9 71
8 10 21
9 11 48
12 13 23
13 14 92
12 15 42
16 17 38
16 18 4
16 19 74
20 15
0 1 59
0 2 88
2 3 57
4 5 23
5 6 65
6 7 15
8 9 21
8 10 60
10 11 9
12 13 96
12 14 88
14 15 53
16 17 50
16 18 54
17 19 92
20 15
0 1 92
0 2 57
1 3 93
4 5 38
5 6 93
4 7 47
8 9 92
9 10 55
8 11 14
12 13 34
12 14 93
12 15 47
16 17 85
17 18 19
16 19 62
20 15
0 1 34
0 2 43
2 3 89
4 5 59
5 6 97
4 7 97
8 9 44
9 10 89
9 11 43
12 13 90
13 14 73
13 15 77
16 17 98
16 18 19
18 19 37
20 15
0 1 29
1 2 73
1 3 92
4 5 40
4 6 73
6 7 40
8 9 92
9 10 87
9 11 20
12 13 19
13 14 50
13 15 82
16 17 4
16 18 75
17 19 19
20 15
0 1 34
1 2 93
2 3 96
4 5 62
4 6 45
6 7 20
8 9 67
9 10 49
9 11 83
12 13 68
13 14 23
13 15 49
16 17 86
16 18 44
16 19 40
