10
20 97
19 0 97
9 6 71
6 1 31
8 2 73
18 1 73
15 1 7
10 2 40
0 11 97
9 12 65
6 10 97
12 11 17
3 10 53
16 3 65
4 0 76
12 15 76
1 9 21
4 14 11
2 7 28
4 5 65
16 19 84
16 10 58
4 10 38
11 19 56
1 12 31
6 19 78
2 4 73
15 3 2
4 9 71
2 15 13
14 10 22
9 5 9
8 18 47
11 2 10
5 14 34
15 8 98
14 4 16
18 15 6
11 9 52
13 19 88
4 14 47
16 19 41
11 2 88
13 16 58
8 1 80
1 7 90
17 0 20
3 9 49
5 18 52
2 7 50
14 2 45
17 14 14
2 5 94
3 12 99
13 6 52
10 2 41
10 19 63
6 15 15
8 14 5
17 4 61
4 6 41
18 1 77
12 1 47
13 15 28
1 6 3
13 8 33
5 2 19
2 8 52
2 9 92
14 13 68
6 8 24
1 2 55
10 9 22
6 11 54
17 5 90
13 11 89
18 12 2
17 19 26
2 18 79
4 10 86
10 0 20
14 4 64
10 3 87
13 8 67
0 14 17
14 18 13
1 6 96
6 13 90
17 5 77
12 6 45
18 0 48
11 0 39
9 16 16
15 14 53
13 11 46
17 13 67
10 3 23
14 13 48
20 97
5 17 77
5 17 56
12 9 85
13 9 90
19 3 12
3 2 84
0 19 53
3 15 96
19 17 13
14 16 75
1 9 54
6 7 100
14 17 49
3 6 61
3 11 60
13 12 1
11 7 65
9 8 85
8 9 54
7 0 54
1 0 4
4 11 67
19 10 43
5 18 56
7 17 51
6 19 83
12 1 74
13 4 82
12 5 52
10 16 21
13 7 13
4 16 16
18 12 98
8 17 21
10 6 12
2 0 56
0 18 20
0 19 91
17 2 74
12 0 96
4 14 82
11 5 31
7 9 25
17 7 93
12 8 85
1 8 11
4 0 82
18 3 15
14 19 16
3 4 37
8 5 12
2 15 47
6 12 13
15 0 53
2 15 81
2 6 88
13 12 41
14 5 24
9 0 23
18 19 5
3 10 45
15 19 77
17 0 21
16 8 16
6 19 4
17 0 67
16 4 28
11 3 28
0 10 18
7 2 94
4 8 36
15 6 12
11 17 84
9 14 96
15 13 66
12 6 33
5 6 88
8 12 14
9 5 27
15 13 58
13 19 96
8 10 80
3 19 50
13 6 73
2 14 22
1 16 33
18 13 38
19 16 46
12 0 15
5 10 55
5 11 32
2 6 85
4 10 16
0 10 89
0 10 28
14 18 42
7 17 9
20 93
12 9 78
6 16 28
3 17 36
19 2 74
1 15 64
1 8 54
14 5 77
10 18 50
7 18 3
9 0 83
18 0 60
9 4 52
1 17 68
1 10 83
0 2 61
3 13 93
9 8 41
11 12 11
17 10 64
19 1 51
9 14 64
3 11 80
3 0 29
1 0 18
3 10 89
13 7 22
2 6 93
11 17 1
1 8 6
3 1 39
2 8 43
19 12 35
5 4 75
14 3 17
10 4 97
18 13 82
14 3 67
16 7 74
8 10 99
15 7 12
8 9 92
2 11 72
7 6 89
15 1 28
0 6 60
12 6 63
3 10 27
18 16 66
10 9 91
14 4 65
3 4 29
11 12 58
19 16 26
12 6 9
8 13 22
9 18 83
3 4 60
7 0 59
5 8 4
15 16 58
11 8 16
17 2 46
13 6 20
12 16 56
16 10 7
14 8 48
3 1 84
12 13 25
9 6 52
5 19 36
16 19 64
16 13 14
1 7 15
7 3 7
1 18 35
7 2 69
3 8 29
19 12 51
12 3 29
8 15 27
5 6 45
9 19 37
0 3 24
16 19 62
9 7 22
10 2 22
5 10 59
4 0 86
15 13 43
0 5 34
2 5 87
0 19 46
15 18 1
20 95
15 7 61
3 1 3
18 9 30
5 4 100
9 10 58
15 11 70
8 15 33
11 14 2
11 9 91
10 16 100
19 15 15
8 16 94
0 4 53
7 4 46
15 0 32
18 13 47
6 2 25
12 3 36
17 14 68
5 8 87
11 10 51
18 13 36
9 6 6
18 16 90
10 19 16
13 14 73
11 9 15
0 15 88
4 14 88
4 16 38
19 17 86
5 9 63
9 2 38
0 14 6
6 9 76
3 1 63
9 0 56
11 0 7
8 4 45
9 16 86
17 4 12
8 4 94
6 13 75
2 9 29
1 15 46
7 12 55
12 3 34
9 19 40
5 18 56
10 18 18
6 8 18
13 17 26
2 9 73
14 17 24
12 13 13
4 16 57
10 16 88
11 14 46
13 14 54
13 14 4
17 0 99
13 2 97
4 19 39
7 18 66
11 4 80
17 18 38
1 12 17
12 0 60
16 14 7
2 1 35
3 10 77
3 9 73
15 10 8
3 18 87
16 1 90
6 16 19
17 15 18
7 4 39
9 0 63
19 6 15
2 0 20
19 3 67
3 7 27
3 15 4
16 14 51
1 3 39
12 15 24
7 17 34
19 14 85
19 3 56
4 0 24
4 7 22
16 17 26
3 18 64
11 8 51
20 93
12 3 60
4 0 37
14 3 73
12 0 75
9 1 83
19 14 6
11 4 60
14 8 2
5 11 65
16 6 45
16 12 66
2 5 84
4 11 84
18 10 59
4 8 98
9 12 9
15 12 61
19 5 74
8 4 90
10 18 75
11 18 80
12 2 6
0 5 30
10 7 99
7 3 23
12 13 9
1 19 33
3 1 96
2 14 98
11 19 81
0 5 42
3 14 49
4 18 72
8 15 57
9 7 26
5 13 68
6 2 75
0 3 27
1 4 1
11 13 73
17 2 44
5 16 64
18 15 65
19 17 18
2 14 55
12 2 73
2 4 67
9 3 16
15 7 7
19 17 43
0 7 38
8 12 91
11 2 21
9 2 69
18 7 67
19 16 40
12 19 8
17 3 75
15 8 84
0 1 44
13 8 26
10 1 18
6 17 94
10 1 31
15 2 73
19 1 45
2 13 77
19 2 71
15 4 35
1 3 5
15 16 29
11 13 62
9 7 3
1 0 100
6 17 78
12 0 71
15 1 50
12 4 56
13 17 18
3 14 16
19 11 46
6 10 56
1 7 30
2 18 2
7 13 96
17 18 6
0 7 8
2 1 17
14 5 37
1 10 45
19 7 38
4 19 51
15 3 85
20 91
8 17 27
15 11 29
14 9 47
17 9 84
7 16 35
10 17 65
3 1 45
13 19 63
8 2 27
4 16 30
9 17 27
3 11 93
4 1 31
3 0 64
1 8 36
18 12 39
2 1 36
19 12 64
0 12 50
14 1 29
6 12 24
13 17 7
9 1 70
11 0 78
10 8 97
18 6 97
0 10 93
19 13 55
1 3 71
12 9 69
14 13 74
18 16 34
5 12 60
7 4 2
2 7 99
17 9 44
18 12 5
19 8 47
19 0 16
9 18 85
10 8 23
0 14 2
14 1 46
15 17 28
13 1 75
2 8 79
17 10 9
14 5 34
15 4 30
5 4 80
1 7 15
1 5 88
16 14 75
10 1 71
7 1 92
0 11 70
1 19 31
11 3 10
16 14 15
16 2 31
6 10 74
11 13 10
13 9 19
0 10 78
11 10 53
11 15 38
19 0 21
11 1 38
4 18 4
3 19 28
10 16 92
16 18 92
11 6 49
18 1 85
4 12 98
7 18 65
18 17 94
13 17 94
3 16 7
19 15 85
14 10 35
6 18 38
7 10 32
11 7 59
10 3 89
7 14 94
13 11 11
11 17 65
2 11 84
15 19 30
14 13 30
20 96
18 4 69
7 13 87
18 4 78
8 9 44
10 3 11
16 4 74
15 6 24
14 0 22
3 13 34
17 15 96
3 4 5
13 0 89
5 2 17
12 13 46
4 12 90
17 7 92
9 3 44
10 18 78
19 3 93
1 2 95
11 14 53
14 13 38
15 4 94
5 18 66
2 4 1
11 14 49
10 14 23
16 18 36
3 7 39
15 10 7
18 16 68
18 16 55
9 10 50
10 5 19
1 6 56
16 8 74
19 10 13
11 9 22
3 9 36
15 14 29
5 9 34
19 3 30
8 4 13
6 17 66
5 0 77
1 17 69
6 0 63
0 11 27
9 18 55
14 16 17
14 9 15
3 14 56
15 8 12
4 8 94
3 11 11
7 2 42
5 16 43
8 14 81
16 2 91
10 1 56
3 16 41
6 17 85
1 0 32
4 18 49
7 6 34
15 4 63
5 15 37
4 6 82
2 16 93
6 0 56
2 15 72
19 6 91
5 1 54
8 19 49
18 7 82
11 15 68
5 9 30
9 15 63
12 19 46
17 15 38
3 7 15
9 13 58
10 7 85
13 3 23
14 10 85
3 11 90
12 4 100
19 13 88
7 0 38
8 16 28
13 1 72
10 8 87
10 13 51
14 13 52
8 1 35
15 7 44
20 100
1 9 58
13 7 74
5 17 27
3 19 79
10 4 78
17 0 93
0 12 12
10 11 99
17 2 84
1 16 27
11 17 26
5 17 51
7 9 21
11 10 53
6 17 94
7 0 5
0 16 14
16 12 63
1 5 37
9 0 30
7 1 35
3 12 84
12 4 95
8 2 10
2 16 93
13 0 2
17 19 20
3 18 51
6 19 40
10 13 66
0 9 36
14 6 13
8 18 61
12 9 55
2 7 53
17 8 62
9 17 65
7 12 3
15 12 48
17 3 58
7 18 4
12 7 58
11 15 73
3 9 43
4 2 13
17 5 27
15 18 32
2 4 52
19 15 67
18 7 8
15 8 53
9 10 20
1 10 89
18 19 53
0 8 89
6 17 63
17 15 41
7 10 60
15 16 72
2 3 55
2 12 17
0 5 67
3 5 26
14 3 5
13 15 22
16 15 18
17 13 52
0 9 16
13 9 93
8 16 42
19 11 73
5 4 38
16 6 79
11 16 78
8 15 60
6 10 96
4 5 68
15 0 41
13 5 20
15 2 1
9 6 26
3 17 59
10 3 8
19 14 77
5 2 45
17 7 45
0 6 36
9 13 75
9 11 80
12 8 72
17 6 10
18 4 14
6 8 23
8 18 14
4 16 76
12 10 74
18 19 36
19 15 27
5 0 30
6 2 79
20 96
5 15 1
10 2 7
4 16 57
13 15 42
9 16 98
3 7 72
12 15 46
9 16 41
16 2 78
6 5 82
8 4 56
17 14 63
8 3 72
13 11 23
0 11 60
11 13 28
19 17 25
12 11 23
0 6 57
11 16 25
0 18 40
10 3 48
8 16 2
19 8 5
8 15 51
1 8 36
1 18 4
15 19 81
14 15 23
15 17 14
1 11 4
19 4 91
5 4 11
13 3 8
14 1 41
3 17 36
6 19 95
0 10 87
10 5 76
11 16 2
12 13 86
1 2 25
16 4 94
8 2 23
14 1 36
19 6 89
16 13 23
0 9 36
17 11 16
10 14 73
2 18 60
2 3 12
5 2 24
10 18 81
0 5 2
6 11 59
2 7 40
6 4 40
1 12 91
9 5 36
4 18 41
13 7 25
8 6 23
9 8 90
14 8 12
15 11 75
16 14 81
5 1 75
12 4 69
18 6 90
13 11 83
9 6 44
16 17 96
8 2 66
6 8 28
14 8 5
3 16 85
5 15 18
14 18 42
11 18 49
18 1 42
3 11 2
5 13 61
3 5 46
9 5 60
17 5 97
0 14 79
14 18 74
13 12 61
7 8 93
11 19 44
15 12 39
1 7 98
16 3 54
13 8 74
12 18 4
20 95
5 16 22
9 19 90
16 6 73
10 1 12
9 4 45
14 12 22
14 0 85
4 6 23
2 5 31
6 13 12
7 4 88
17 11 1
15 5 45
3 15 71
12 6 61
12 14 91
7 3 50
4 10 98
4 12 99
10 9 87
13 19 51
17 2 45
15 18 4
7 19 23
7 11 47
10 16 1
12 2 83
7 4 64
6 1 28
9 13 12
10 12 84
5 13 20
12 15 5
8 13 23
5 12 88
16 3 60
2 11 88
3 12 2
5 10 17
18 16 50
14 0 63
12 13 99
1 9 55
8 3 78
14 16 48
15 10 69
11 3 23
13 17 98
12 2 20
0 10 91
18 8 26
16 19 94
14 13 7
14 9 6
3 15 59
11 1 77
11 8 55
10 9 99
0 17 35
5 9 46
13 0 58
10 9 82
1 19 15
11 1 69
12 7 23
2 17 13
15 13 36
11 14 89
19 7 94
16 18 59
1 2 42
11 1 19
19 3 49
16 2 44
9 13 52
0 5 96
8 2 56
3 6 74
8 9 79
16 17 32
1 11 74
15 6 98
13 8 96
5 8 65
1 19 52
5 9 35
0 13 27
0 13 85
4 8 35
14 19 82
10 3 29
7 0 91
10 7 9
19 9 94
19 14 76
