10
20 200
16 1 85
13 18 52
9 12 65
7 12 72
10 19 19
9 3 7
1 14 74
5 3 85
13 10 87
4 11 40
15 11 71
5 19 20
15 14 97
19 4 43
3 14 48
1 11 65
16 9 6
10 4 57
2 9 13
16 19 56
13 3 41
11 17 48
7 19 6
19 0 11
16 17 95
4 12 59
16 6 49
10 18 77
6 19 18
1 9 61
15 7 14
11 9 10
6 11 87
1 14 14
2 15 58
16 2 51
4 17 94
19 7 83
11 7 76
14 1 53
17 6 56
13 8 5
19 9 46
18 4 54
14 7 47
8 1 83
2 9 72
19 1 81
10 3 1
3 9 31
10 12 77
9 8 76
10 4 18
3 15 92
19 12 20
5 6 44
8 11 20
5 11 40
2 8 57
10 5 10
10 0 23
16 2 83
13 5 26
13 10 86
3 7 69
2 7 58
18 14 60
11 6 57
11 4 72
10 14 52
4 7 14
12 4 77
1 10 32
0 8 19
9 6 99
18 17 95
2 18 85
13 16 47
11 1 51
0 1 62
2 14 90
10 3 60
19 18 71
16 3 68
5 8 58
11 16 76
13 15 78
1 13 3
10 4 77
8 0 24
3 18 65
10 2 43
9 13 15
2 5 99
11 3 87
14 2 85
2 9 60
19 10 81
3 17 87
11 7 57
2 15 57
2 4 36
9 15 15
7 9 61
13 16 15
4 18 85
0 8 69
4 8 38
11 0 54
11 2 51
3 13 46
14 13 35
0 11 40
11 7 50
6 4 85
13 14 44
5 19 7
12 10 17
5 1 32
11 17 54
11 9 50
13 1 37
16 13 21
15 2 12
7 13 72
19 17 42
15 16 20
3 14 65
0 8 28
1 0 27
2 19 77
3 12 3
1 12 65
9 10 96
14 7 69
14 11 12
9 18 63
15 13 23
6 10 78
1 18 72
19 16 55
11 13 15
11 0 24
2 4 97
14 7 53
2 17 27
0 2 96
4 18 27
12 13 38
4 8 26
15 6 29
16 12 60
2 11 29
16 4 56
4 17 47
14 2 11
8 9 44
4 1 5
17 10 86
7 16 72
4 12 69
18 13 74
19 9 97
3 8 74
3 11 70
13 3 32
13 3 96
19 5 93
10 5 80
14 18 83
7 12 77
4 15 58
19 5 47
14 2 41
3 15 79
12 2 19
2 1 20
6 19 3
17 0 78
8 18 49
14 1 8
0 10 13
8 1 17
8 5 33
12 9 33
10 19 17
12 13 88
8 6 16
10 2 65
15 9 96
9 10 29
3 16 16
4 17 33
7 15 4
16 6 100
9 2 98
6 16 15
18 6 30
0 4 2
16 9 59
20 200
2 17 70
9 6 6
11 17 37
4 13 65
5 10 91
14 11 48
15 16 49
19 0 64
4 9 22
9 18 44
14 17 36
11 16 29
5 2 68
15 8 84
9 2 45
7 13 82
18 8 84
10 18 93
10 5 59
5 15 89
17 15 91
7 1 74
4 9 6
16 7 82
0 11 9
8 9 16
4 9 79
9 15 32
3 6 3
18 17 25
9 0 77
5 14 90
0 2 6
1 2 86
3 10 37
11 2 68
1 4 92
4 16 47
15 16 53
17 8 72
10 18 6
7 6 75
14 8 92
17 2 65
1 12 7
19 9 89
1 6 37
12 11 33
11 7 94
1 4 67
3 10 21
10 8 16
17 1 23
9 18 78
11 12 47
5 13 84
4 0 71
10 15 67
15 5 18
10 6 98
9 2 33
5 14 12
15 6 26
17 3 41
8 14 28
12 11 99
12 11 44
5 0 95
0 5 64
0 11 43
11 8 79
15 0 12
14 4 78
15 4 65
17 15 33
15 10 62
14 8 96
12 10 84
6 17 36
17 0 81
2 18 30
14 2 74
9 1 2
9 10 14
14 6 44
11 17 93
13 8 82
17 9 83
15 5 68
14 8 25
14 15 40
3 8 100
9 15 77
13 18 10
8 14 32
15 1 82
2 9 51
14 19 92
3 18 95
10 4 6
12 9 59
7 11 67
19 14 5
2 1 21
5 0 19
1 3 67
13 7 21
15 6 32
4 13 89
4 5 85
4 2 31
16 12 72
3 4 13
13 5 5
6 1 41
4 9 55
17 11 97
8 4 14
4 2 58
15 11 67
15 6 16
18 9 61
4 10 83
6 17 42
19 12 19
16 12 65
2 14 60
4 11 66
2 14 5
7 14 16
15 9 69
4 3 7
3 6 18
12 18 5
19 10 21
13 5 89
18 17 49
0 19 46
9 16 51
19 4 87
5 18 75
16 11 17
14 11 58
19 14 9
12 19 95
9 6 89
19 5 70
17 18 24
11 17 74
12 16 59
2 12 65
10 9 73
11 13 52
6 13 65
13 2 56
16 18 31
12 11 66
8 2 94
7 1 75
15 3 88
3 15 77
2 10 85
10 11 91
7 18 54
11 1 7
19 15 95
8 17 39
6 9 42
6 18 54
11 14 71
7 1 13
14 13 62
9 12 79
14 10 54
7 1 86
13 10 92
17 10 70
17 16 65
14 17 68
7 9 99
1 11 79
17 0 50
4 19 12
14 12 44
11 17 44
8 7 15
0 3 56
3 13 75
16 4 42
4 8 94
9 1 99
7 15 4
5 15 66
19 18 31
12 15 24
19 4 41
11 1 84
6 5 79
4 6 78
10 11 52
20 200
7 14 97
15 17 84
11 2 73
1 13 45
8 17 73
5 12 88
17 4 22
11 12 59
3 5 18
13 19 99
19 6 59
4 0 28
11 1 13
6 1 35
7 6 89
4 9 49
11 17 12
0 8 84
4 13 49
2 17 8
12 19 78
9 13 50
19 15 85
3 16 20
8 6 93
4 12 41
9 8 8
17 16 53
3 1 71
16 8 46
9 5 73
1 2 86
9 12 60
19 12 43
6 18 10
13 10 73
3 4 39
0 9 57
5 13 36
4 7 1
10 19 99
8 4 49
7 11 22
8 6 43
1 5 41
15 0 1
1 2 88
2 3 77
10 8 98
2 14 77
16 8 69
3 16 6
1 0 90
2 15 5
17 18 75
1 17 60
1 0 53
13 14 72
8 11 66
1 7 95
14 11 20
17 15 24
13 0 3
16 14 48
3 0 12
16 6 74
3 6 92
19 10 31
1 12 57
0 7 27
1 17 53
9 0 65
7 10 49
11 3 12
7 17 42
9 0 28
19 9 32
17 16 89
18 10 74
5 17 61
12 10 4
0 6 76
9 7 33
16 14 68
12 17 61
