10
20 40
19 11 74
17 7 88
17 6 92
1 10 52
11 19 34
8 7 29
12 3 46
3 0 95
7 5 60
3 12 11
17 2 76
6 2 6
4 6 98
8 2 78
13 1 4
17 9 81
4 3 87
10 3 12
16 19 4
7 9 11
17 13 29
8 14 82
10 1 30
7 3 49
18 12 47
8 18 55
4 7 96
1 14 69
8 2 28
15 12 83
14 4 34
14 18 36
0 5 90
18 10 28
13 10 36
5 17 94
12 8 82
2 6 30
11 5 48
11 6 86
20 40
0 18 71
8 16 78
18 2 11
10 15 3
16 0 77
2 12 49
13 6 13
3 11 40
14 0 93
15 7 61
8 10 15
15 17 22
8 17 2
15 2 98
6 9 52
5 13 77
7 18 29
1 7 9
13 6 70
7 1 31
19 14 68
16 7 36
8 16 98
6 4 48
5 16 14
1 3 20
7 4 66
15 2 97
11 14 67
4 18 74
14 3 32
17 4 17
15 6 70
0 2 91
3 17 97
1 10 10
7 2 44
5 17 100
9 13 21
9 16 78
20 40
11 9 21
2 19 9
17 1 96
16 8 17
10 1 7
13 15 62
9 14 41
14 17 91
13 5 36
14 7 10
1 17 2
3 13 46
2 7 22
18 15 65
9 13 90
2 0 59
7 12 16
6 10 31
19 1 80
1 18 95
16 5 8
11 2 32
12 8 59
5 12 1
17 15 20
8 12 17
14 17 13
14 1 87
16 10 34
16 2 24
18 7 75
9 19 84
2 17 28
17 14 18
3 1 52
19 18 13
6 9 28
2 13 85
6 12 8
10 3 32
20 40
4 17 5
17 9 85
11 10 56
3 8 23
14 17 91
19 16 15
16 0 86
3 12 5
17 10 4
18 8 5
1 9 47
10 8 9
12 18 25
4 7 21
3 2 89
5 13 4
8 1 12
3 4 34
16 12 87
3 19 56
10 6 88
9 19 27
0 10 99
8 1 91
11 18 71
7 8 21
5 10 53
0 6 52
13 8 6
7 3 46
8 11 83
14 11 40
15 7 26
1 11 27
17 13 80
4 8 21
4 13 17
17 4 35
13 17 2
8 16 63
20 40
2 9 66
9 13 42
16 15 81
16 13 71
13 2 86
15 5 85
12 9 71
14 4 60
0 3 100
17 0 39
13 0 67
16 17 77
12 5 79
1 7 61
18 19 84
18 9 52
14 6 66
2 9 31
13 7 23
7 9 29
19 10 12
17 7 16
10 14 79
9 6 56
12 15 52
6 4 4
7 8 57
8 10 41
16 14 7
4 6 54
17 6 47
7 4 84
15 14 34
10 19 41
10 14 57
13 18 25
14 5 96
3 9 65
7 8 99
19 2 59
20 40
9 19 16
12 8 97
9 18 87
13 15 4
4 19 69
15 3 73
1 0 32
0 12 76
7 3 90
18 1 45
6 14 90
17 2 18
6 2 76
13 12 99
18 0 98
10 17 60
7 2 100
4 6 9
4 7 17
12 5 60
0 11 39
18 12 62
8 11 22
14 10 44
17 1 45
15 7 35
4 7 50
13 1 27
5 1 34
12 10 28
15 0 96
12 10 86
6 0 80
13 4 60
17 19 29
18 0 11
3 18 4
3 5 40
12 13 69
13 8 11
20 40
18 16 77
17 16 45
0 16 25
3 6 41
17 13 85
9 3 25
2 9 29
9 7 47
11 14 35
10 0 54
15 8 93
9 8 30
12 7 40
17 9 90
3 17 98
8 10 36
13 17 43
18 11 61
17 15 60
17 4 36
5 6 28
13 18 35
15 6 46
15 3 56
11 2 65
15 14 3
14 18 79
12 10 4
16 8 79
13 15 72
5 9 2
11 14 91
4 13 23
4 15 14
10 7 12
15 10 24
8 14 32
19 8 72
7 15 83
2 7 93
20 40
5 18 56
14 2 88
3 17 29
5 0 53
7 3 72
14 19 61
13 9 73
15 2 74
0 18 37
1 4 20
19 7 100
2 5 31
16 14 36
14 10 24
13 19 77
1 5 61
5 17 10
3 2 52
4 8 19
9 1 30
6 8 85
10 19 33
0 8 74
1 8 62
14 2 77
16 17 64
1 13 95
18 6 55
14 9 76
19 1 79
0 2 30
9 19 96
18 9 57
3 14 89
9 12 35
16 12 58
18 9 11
7 8 81
2 1 22
3 6 81
20 40
10 17 98
14 3 83
1 6 67
5 9 71
12 17 5
17 4 37
7 13 6
10 15 91
8 10 15
4 15 92
17 14 53
13 10 65
17 12 59
15 9 85
8 13 62
17 15 45
14 2 41
0 17 53
11 19 97
15 2 61
10 3 21
7 18 50
1 6 35
2 7 15
8 0 37
4 2 36
15 4 58
14 15 16
0 19 31
9 16 91
10 6 90
4 15 5
6 19 66
15 14 98
10 13 89
15 7 59
11 13 43
17 4 50
12 16 1
9 18 75
20 40
3 7 49
13 4 32
9 7 96
19 2 31
12 19 88
0 14 37
7 6 80
17 12 41
4 16 76
18 11 74
11 4 12
0 4 53
6 12 62
0 12 36
7 19 46
4 2 61
8 4 81
17 5 10
1 19 96
15 9 100
16 13 73
0 18 88
2 13 13
4 7 60
5 2 79
7 15 75
14 1 75
12 2 43
8 14 33
8 14 39
9 13 89
3 16 59
10 3 57
3 1 40
3 14 22
9 0 6
15 17 5
10 1 38
14 11 76
8 10 80
