10
20 19
0 1 92
0 2 41
0 3 10
0 4 92
0 5 27
0 6 64
0 7 27
0 8 74
0 9 82
0 10 79
0 11 2
0 12 6
0 13 49
0 14 27
0 15 89
0 16 15
0 17 38
0 18 1
0 19 31
20 19
0 1 85
0 2 43
0 3 23
0 4 50
0 5 30
0 6 48
0 7 52
0 8 6
0 9 20
0 10 19
0 11 77
0 12 32
0 13 80
0 14 86
0 15 34
0 16 55
0 17 88
0 18 74
0 19 91
20 19
0 1 81
0 2 40
0 3 27
0 4 84
0 5 95
0 6 35
0 7 53
0 8 89
0 9 2
0 10 54
0 11 53
0 12 49
0 13 36
0 14 25
0 15 100
0 16 63
0 17 33
0 18 77
0 19 2
20 19
0 1 81
0 2 89
0 3 51
0 4 6
0 5 90
0 6 99
0 7 58
0 8 17
0 9 85
0 10 89
0 11 29
0 12 10
0 13 82
0 14 15
0 15 15
0 16 21
0 17 63
0 18 9
0 19 24
20 19
0 1 69
0 2 42
0 3 22
0 4 95
0 5 33
0 6 88
0 7 92
0 8 89
0 9 51
0 10 37
0 11 69
0 12 37
0 13 37
0 14 73
0 15 34
0 16 14
0 17 98
0 18 16
0 19 51
20 19
0 1 26
0 2 12
0 3 72
0 4 64
0 5 26
0 6 17
0 7 67
0 8 5
0 9 61
0 10 62
0 11 14
0 12 15
0 13 30
0 14 5
0 15 50
0 16 24
0 17 11
0 18 98
0 19 89
20 19
0 1 9
0 2 31
0 3 56
0 4 79
0 5 48
0 6 57
0 7 95
0 8 19
0 9 57
0 10 77
0 11 99
0 12 6
0 13 85
0 14 65
0 15 99
0 16 25
0 17 99
0 18 27
0 19 93
20 19
0 1 41
0 2 6
0 3 73
0 4 2
0 5 20
0 6 44
0 7 33
0 8 23
0 9 45
0 10 60
0 11 26
0 12 83
0 13 8
0 14 51
0 15 49
0 16 20
0 17 38
0 18 65
0 19 9
20 19
0 1 29
0 2 24
0 3 81
0 4 25
0 5 43
0 6 85
0 7 93
0 8 57
0 9 4
0 10 57
0 11 9
0 12 32
0 13 78
0 14 68
0 15 37
0 16 72
0 17 21
0 18 19
0 19 71
20 19
0 1 41
0 2 8
0 3 15
0 4 88
0 5 9
0 6 53
0 7 67
0 8 69
0 9 3
0 10 80
0 11 93
0 12 22
0 13 93
0 14 42
0 15 48
0 16 5
0 17 19
0 18 14
0 19 88
