10
20 19
0 1 72
0 2 25
0 3 68
0 4 80
2 5 98
4 6 65
1 7 60
3 8 36
0 9 25
1 10 20
10 11 61
7 12 23
2 13 86
0 14 7
10 15 47
9 16 27
13 17 33
10 18 79
14 19 6
20 19
0 1 95
0 2 69
0 3 21
0 4 63
4 5 15
0 6 31
5 7 57
5 8 54
3 9 96
5 10 30
1 11 42
3 12 13
3 13 95
6 14 26
6 15 29
2 16 61
15 17 7
13 18 19
6 19 79
20 19
0 1 23
1 2 48
0 3 59
1 4 81
2 5 35
1 6 43
1 7 5
0 8 36
2 9 15
7 10 59
6 11 22
5 12 29
4 13 78
2 14 82
9 15 22
7 16 12
13 17 67
15 18 28
18 19 61
20 19
0 1 36
0 2 94
1 3 95
1 4 32
2 5 56
4 6 29
4 7 20
0 8 54
0 9 6
7 10 94
8 11 5
6 12 68
6 13 62
12 14 90
13 15 13
14 16 64
7 17 11
17 18 97
0 19 89
20 19
0 1 28
0 2 46
1 3 31
0 4 3
3 5 86
2 6 21
5 7 59
0 8 59
7 9 99
2 10 91
6 11 24
5 12 81
7 13 91
10 14 1
13 15 81
2 16 50
10 17 68
1 18 38
13 19 97
20 19
0 1 90
0 2 88
0 3 80
2 4 95
0 5 66
5 6 47
0 7 15
6 8 47
7 9 80
0 10 47
5 11 23
10 12 72
11 13 9
8 14 91
12 15 27
4 16 43
7 17 70
3 18 84
15 19 95
20 19
0 1 97
0 2 42
1 3 35
3 4 36
0 5 9
2 6 45
3 7 63
1 8 61
8 9 87
8 10 38
7 11 80
5 12 87
11 13 9
3 14 59
1 15 11
12 16 23
9 17 10
3 18 22
8 19 15
20 19
0 1 64
0 2 27
2 3 81
0 4 38
3 5 88
4 6 17
3 7 45
6 8 57
0 9 38
3 10 9
0 11 30
8 12 83
5 13 53
9 14 44
10 15 83
10 16 63
16 17 71
14 18 59
9 19 73
20 19
0 1 40
0 2 34
0 3 62
2 4 37
0 5 19
2 6 37
3 7 22
2 8 92
8 9 37
2 10 23
10 11 20
2 12 31
1 13 6
5 14 74
2 15 57
8 16 48
5 17 27
17 18 91
1 19 86
20 19
0 1 45
0 2 48
1 3 70
1 4 69
2 5 16
0 6 52
3 7 99
2 8 59
5 9 20
0 10 95
8 11 65
5 12 83
11 13 38
7 14 38
12 15 74
4 16 73
14 17 44
3 18 94
15 19 6
