2 2
1 0 29
0 1 5,

3 6
2 1 1
1 0 46
0 2 26
0 2 55
1 0 58
1 0 12,

4 12
0 3 11
1 0 49
2 3 82
2 1 48
2 0 78
1 3 49
1 0 6
2 1 86
2 0 30
2 1 88
1 2 11
0 3 69,

5 15
4 3 12
1 4 14
0 2 52
4 3 47
2 4 98
0 4 97
3 4 9
1 3 1
4 3 68
2 4 55
0 2 56
3 1 34
4 2 28
2 4 2
2 0 28,

6 18
0 2 40
1 2 68
5 3 9
2 3 3
4 3 28
1 5 40
2 3 67
3 0 32
4 1 17
2 1 70
5 2 82
4 0 77
4 5 89
1 0 44
5 3 71
1 0 31
3 5 84
4 0 11,

7 21
0 1 9
1 4 17
1 3 24
0 4 71
1 4 29
6 0 57
5 4 74
0 4 31
6 3 25
0 6 43
3 5 44
3 6 94
0 5 84
2 3 32
2 5 63
5 0 8
1 4 58
3 1 61
0 1 25
5 3 46
6 4 13,

8 24
0 7 65
2 0 66
6 2 86
7 2 25
1 3 52
1 0 59
4 3 8
0 1 54
7 4 79
5 1 32
2 6 1
1 3 75
6 7 62
0 5 8
4 7 41
5 4 21
5 4 27
1 2 9
5 3 34
6 4 59
3 6 8
1 3 22
3 4 17
4 6 90,

9 27
4 8 63
2 4 21
0 3 52
2 5 53
8 4 85
5 3 88
7 3 26
4 5 6
6 2 6
6 4 6
2 8 5
2 3 21
1 6 5
8 2 35
4 0 12
2 6 4
5 8 19
8 0 86
7 8 91
3 4 21
1 2 34
6 8 2
3 1 46
7 5 40
4 3 92
8 6 80
0 5 99,

10 30
8 3 47
7 3 66
6 0 67
0 3 61
8 5 4
3 2 4
1 4 66
1 9 56
9 4 5
1 4 23
6 2 79
6 9 66
8 6 87
7 2 85
1 4 65
5 7 57
6 1 86
3 4 6
2 3 54
4 3 56
9 5 12
4 6 42
5 4 9
1 6 74
9 4 52
4 5 83
8 0 39
5 9 41
3 4 29
6 4 71,

11 33
4 8 63
4 3 82
10 0 97
2 9 69
5 8 60
3 4 56
6 0 27
8 9 41
2 3 9
6 10 74
2 8 60
7 10 68
8 1 18
0 8 32
5 10 87
4 3 35
7 1 92
1 7 18
0 5 39
6 3 19
1 6 29
6 2 60
7 9 93
3 6 64
10 3 36
9 3 63
9 0 98
7 0 50
8 6 71
9 6 62
7 2 96
2 3 50
9 1 59,

12 36
0 6 63
10 0 97
1 10 55
9 11 81
11 3 10
2 6 23
1 9 4
6 11 76
3 1 90
4 10 77
6 4 97
10 1 73
3 2 61
10 7 91
0 3 26
0 4 49
3 7 90
2 7 24
1 9 6
1 6 47
5 3 59
6 4 11
7 0 96
10 5 9
1 2 40
11 8 84
5 8 55
4 9 69
0 6 76
8 10 44
4 9 87
3 10 9
4 5 22
9 10 4
0 9 20
8 0 45,

13 39
4 0 7
10 9 48
12 3 89
11 8 98
7 8 68
3 12 60
5 2 7
2 10 97
5 6 96
11 7 35
2 4 2
2 7 28
3 1 93
4 11 76
8 5 46
6 7 72
11 3 40
5 4 77
7 10 92
8 4 90
4 3 47
11 4 72
0 7 42
12 0 12
12 8 77
11 8 17
4 5 32
0 8 25
1 3 93
4 1 25
11 2 25
3 5 16
1 4 58
5 12 34
10 6 44
9 4 61
4 3 52
3 11 62
7 1 2,

14 42
0 2 20
11 13 73
4 10 11
4 11 37
4 13 62
4 13 19
3 10 20
0 12 97
1 10 30
13 4 74
11 1 98
6 4 73
7 11 39
4 12 81
8 1 21
6 11 42
1 0 22
9 10 88
4 13 76
4 0 30
12 4 77
8 12 54
9 4 4
0 12 87
1 9 6
3 10 28
11 13 59
1 3 87
0 6 58
2 3 23
6 7 10
12 9 39
11 6 35
12 8 49
9 10 26
6 1 70
1 13 9
4 7 16
11 9 61
9 0 79
1 3 16
12 9 29,

15 45
6 5 42
4 13 1
2 14 37
6 13 98
6 1 29
10 7 20
8 5 80
3 4 71
7 14 90
2 9 56
7 12 7
7 3 59
7 1 4
13 2 64
14 11 38
8 0 59
10 13 63
8 11 35
7 1 83
13 0 85
4 11 39
7 4 85
8 0 71
2 7 67
10 1 21
5 6 89
5 1 99
1 5 33
8 2 50
13 9 75
6 13 66
10 9 31
1 7 45
3 14 77
6 0 25
13 1 36
11 2 40
14 12 65
13 8 60
12 7 81
13 14 15
6 13 62
8 11 18
10 7 36
13 6 44,

16 48
11 8 22
11 9 82
10 12 59
13 4 32
9 7 96
0 14 37
14 15 45
13 1 41
14 0 93
13 8 59
0 12 36
6 4 70
4 3 81
4 2 61
4 10 13
12 11 74
15 9 100
12 10 81
12 7 64
2 13 13
4 7 60
8 15 38
10 13 23
0 1 78
15 12 50
5 2 79
15 1 80
7 11 29
12 2 43
8 14 33
13 5 22
9 6 50
3 14 22
7 12 30
5 2 57
10 6 90
1 11 94
15 3 31
4 15 5
6 8 87
4 13 84
9 0 6
10 1 38
1 9 57
2 7 81
14 3 68
4 2 38
8 10 80,

17 51
7 12 72
14 7 47
11 13 76
2 4 97
9 15 15
6 2 98
16 13 13
13 16 15
10 4 9
10 12 77
10 7 17
3 6 56
0 8 69
3 15 92
3 14 48
11 2 51
4 1 5
14 2 11
10 0 23
3 11 70
8 12 82
3 7 69
4 8 80
3 15 79
8 5 15
11 6 57
4 12 59
4 0 36
10 7 83
8 1 17
3 14 65
11 1 51
0 1 62
2 14 90
10 3 60
8 6 16
6 0 7
12 13 88
2 15 58
11 16 76
7 10 100
11 7 76
4 13 84
7 15 4
7 1 94
9 13 15
0 4 2
13 8 5
11 3 87
16 9 59
14 2 85,

18 54
11 13 15
10 3 53
16 6 20
9 11 14
14 13 63
12 9 96
11 0 24
10 3 1
14 7 53
13 9 15
4 8 38
14 13 35
8 9 44
1 17 72
7 16 72
11 2 51
4 12 69
8 11 20
5 11 40
4 5 97
1 9 77
3 8 74
1 2 35
13 3 96
13 10 86
13 14 44
13 3 41
11 17 48
4 0 12
14 2 41
11 13 93
11 4 72
10 14 52
16 6 49
15 2 12
7 13 72
17 0 78
11 2 56
15 7 14
12 16 11
9 15 68
3 7 56
12 1 1
10 2 7
12 0 42
9 1 29
6 9 28
1 13 3
8 0 24
6 16 15
4 12 9
15 13 23
13 12 91
5 14 89,

19 57
16 1 85
9 12 65
2 16 50
3 17 87
11 7 57
2 9 72
1 14 74
4 10 11
18 4 45
4 8 26
15 6 29
9 8 76
9 12 53
15 14 97
6 10 78
0 11 40
1 11 65
5 6 44
14 18 71
16 2 83
1 15 48
14 18 83
2 9 13
3 16 66
15 14 81
6 11 45
12 10 17
6 4 33
5 1 32
16 17 95
18 14 60
5 4 98
16 13 21
17 3 92
4 7 14
14 1 8
15 16 20
13 16 47
11 9 10
9 14 30
12 9 33
10 7 43
5 11 48
1 14 14
10 2 65
9 12 17
17 7 40
5 2 66
10 1 81
10 4 77
12 4 21
14 1 53
10 2 43
15 6 48
2 5 99
4 14 9
2 9 60,

20 60
16 18 31
9 6 6
15 14 79
13 3 100
3 18 95
8 2 94
10 4 6
2 5 35
15 1 82
17 19 68
15 5 18
2 10 85
7 18 54
14 16 19
5 2 68
16 11 31
13 19 59
2 3 64
6 1 41
4 9 55
17 15 33
5 15 89
14 19 92
19 17 3
8 6 20
0 11 9
15 11 67
15 4 98
14 11 4
17 16 65
3 10 19
0 2 3
2 14 5
5 14 90
3 1 31
7 0 41
11 2 68
17 0 50
9 10 14
10 8 16
13 5 89
1 11 79
4 1 37
14 12 44
11 17 44
0 19 46
9 16 51
9 7 39
14 11 58
13 2 29
1 6 37
19 5 70
12 11 33
11 7 94
11 1 84
16 3 37
13 1 51
11 13 52
13 2 56
12 2 48,

21 63
17 20 76
2 17 70
10 7 45
14 11 48
8 6 82
4 19 87
10 11 91
5 14 12
11 16 29
8 14 28
16 12 72
13 15 60
6 10 78
0 5 64
5 4 56
18 13 80
4 2 58
11 14 71
15 6 16
20 11 47
20 18 34
18 4 22
12 10 84
4 10 83
20 9 62
2 14 60
14 2 74
0 2 6
1 2 86
14 1 17
16 1 16
3 6 18
20 6 99
12 18 5
5 20 23
4 16 47
2 7 100
13 8 82
16 9 11
20 5 76
20 17 38
4 19 12
14 2 89
8 7 15
16 4 39
16 5 4
19 4 87
3 8 100
15 16 53
13 18 10
16 11 17
17 8 17
10 18 6
17 2 65
7 15 4
19 9 89
7 12 39
20 0 64
20 9 79
11 17 74
2 9 51
1 5 57
20 12 47,

22 66
7 1 75
12 1 73
10 15 67
10 6 98
9 18 44
11 1 7
13 7 21
4 3 51
15 8 84
17 8 80
4 13 89
17 3 41
19 15 95
12 16 58
10 18 93
0 11 43
15 0 12
14 4 78
20 21 61
20 19 100
17 15 91
7 1 74
9 17 2
9 12 79
3 13 18
14 10 54
18 9 61
14 17 44
12 10 23
6 17 42
4 10 92
3 6 3
21 20 89
4 11 66
7 14 16
20 0 77
17 11 87
4 3 7
17 9 10
11 4 26
1 4 92
19 10 21
21 15 68
12 11 6
15 5 68
8 11 98
21 3 54
14 15 40
17 6 47
9 15 77
11 10 72
7 6 75
16 4 42
12 19 95
5 15 66
8 19 62
16 1 6
12 4 88
1 4 67
8 14 32
12 16 59
19 16 52
6 13 65
18 9 93
21 19 16
10 11 52,

23 69
2 11 57
9 18 78
18 21 70
11 2 73
20 9 48
7 20 30
5 13 84
22 6 89
4 0 71
8 12 31
9 18 93
9 10 37
5 12 88
6 7 88
6 7 36
15 6 26
18 21 97
7 17 95
5 1 51
2 20 74
5 4 62
20 12 55
3 21 99
20 6 97
18 0 34
15 17 86
14 19 48
17 9 29
1 9 92
0 10 38
8 9 16
10 7 1
7 1 86
19 7 29
14 20 70
22 8 18
9 22 16
15 5 96
3 1 71
16 14 35
14 16 91
3 19 95
22 15 41
9 1 2
1 5 54
3 10 37
16 15 18
6 3 43
20 8 96
20 11 89
11 4 38
12 21 13
1 3 53
18 7 32
1 21 68
17 8 72
15 11 72
8 22 24
4 15 20
10 22 61
14 8 43
3 14 40
5 14 83
6 5 79
16 10 12
20 1 99
16 22 99
13 22 71
19 2 68,

24 72
23 3 5
2 3 77
15 1 45
14 21 40
1 13 45
7 14 45
16 13 59
1 14 77
23 5 81
22 2 70
17 4 22
17 16 18
14 12 49
22 18 63
23 17 55
21 16 29
20 23 83
23 0 51
4 23 29
13 11 49
5 4 99
1 9 53
8 0 96
21 13 72
4 9 49
6 1 35
20 21 49
2 21 85
13 9 36
6 10 83
16 10 90
17 12 68
19 1 10
16 6 74
18 1 72
17 6 97
12 14 30
2 16 58
12 21 78
4 8 25
6 23 16
0 7 27
2 17 93
22 19 91
21 22 7
1 4 65
6 18 93
2 14 48
9 22 19
15 6 43
9 0 28
14 1 72
12 7 33
23 15 32
6 18 10
18 10 74
5 17 61
9 7 94
1 14 17
1 2 61
17 4 84
17 12 30
19 21 42
7 23 6
7 9 19
21 17 28
10 16 57
21 13 79
3 21 27
11 3 23
9 14 87
1 17 76,

25 75
2 20 84
22 5 11
19 12 100
11 10 53
10 8 98
16 1 30
1 18 29
17 10 50
17 20 88
24 1 12
15 21 63
7 6 80
23 4 3
11 12 59
21 1 98
5 4 93
6 22 73
24 10 27
5 18 31
7 9 88
11 1 80
16 23 36
4 24 92
18 7 64
16 23 45
15 13 83
13 5 14
17 15 24
17 20 8
13 0 3
24 23 18
9 4 26
2 21 36
8 17 75
6 12 31
19 24 79
20 21 79
6 16 59
3 16 20
18 23 54
18 12 87
10 18 13
16 8 46
22 4 2
16 1 10
8 12 11
9 12 60
17 10 100
9 8 47
20 7 9
0 13 18
12 13 24
10 7 49
0 6 76
18 7 90
15 8 6
15 23 83
12 17 61
8 14 63
1 3 56
23 15 59
7 11 71
16 22 87
17 20 46
17 18 85
5 23 46
16 15 60
12 2 39
7 2 44
1 20 2
22 23 11
17 9 3
1 5 41
3 23 61
10 0 82,

26 78
9 13 11
18 22 74
12 2 99
20 2 14
10 12 36
20 9 31
14 11 98
3 23 19
8 4 49
8 3 17
2 25 53
22 6 62
23 20 64
7 18 67
12 25 43
19 25 42
4 9 1
2 14 77
25 11 90
21 15 18
20 19 18
14 17 72
4 23 50
0 23 60
22 6 57
19 9 32
17 16 89
9 10 78
21 18 85
21 24 71
18 20 87
18 17 24
5 21 49
10 5 51
13 17 5
8 7 66
13 12 100
12 0 38
7 14 48
2 5 56
9 8 64
22 13 49
6 14 14
15 18 52
20 19 6
5 4 35
4 2 22
10 25 56
23 16 72
22 20 63
21 18 89
25 9 89
10 11 14
0 2 46
21 11 22
24 7 85
20 12 97
2 23 72
25 17 77
3 18 26
9 15 10
16 13 14
12 14 99
22 25 82
16 4 45
25 12 47
13 8 54
0 15 14
3 0 13
22 2 11
2 0 40
18 25 32
8 21 20
10 9 95
11 8 32
12 10 80
14 10 56
17 2 77,

27 81
9 18 35
18 2 87
22 11 91
25 5 95
25 23 76
25 1 73
5 11 89
7 16 23
15 9 18
10 22 38
18 3 69
11 9 44
8 21 63
17 5 43
15 13 88
5 15 82
0 15 18
16 15 45
6 14 15
3 0 44
8 7 69
18 13 50
14 18 96
11 26 12
10 2 39
15 3 57
3 18 15
0 22 28
12 18 15
1 25 91
14 3 100
5 17 22
26 21 91
24 23 57
6 8 97
13 19 18
20 5 24
9 5 100
26 11 70
19 12 79
6 26 50
23 22 58
5 10 58
18 12 55
25 6 27
7 9 15
19 17 22
17 6 55
1 14 34
17 16 84
17 13 60
12 0 95
3 23 84
11 17 36
19 6 58
5 2 73
14 25 27
16 21 13
14 19 23
19 1 46
5 11 42
17 22 83
22 25 9
26 24 6
15 17 66
20 3 87
8 24 70
20 21 56
19 20 55
7 9 5
4 10 16
7 25 52
15 13 91
25 9 79
25 7 27
24 7 39
26 14 63
16 20 41
4 16 50
5 19 18
0 25 98,

28 84
14 2 82
21 4 9
0 3 21
8 2 48
24 22 4
9 20 7
4 18 63
6 20 96
12 15 19
4 13 79
21 20 22
23 12 45
10 4 50
21 22 46
18 0 100
16 24 54
13 10 18
23 14 82
12 6 55
3 20 59
9 4 49
18 20 35
15 2 17
19 20 22
21 9 27
24 26 97
8 22 48
4 24 53
3 10 48
24 1 6
20 2 91
2 20 47
3 0 28
0 22 44
7 4 92
7 8 83
23 19 37
21 14 28
14 11 93
21 5 98
16 18 2
9 5 36
4 22 17
9 23 90
25 24 12
22 4 62
6 23 51
27 23 12
8 10 37
14 15 42
2 7 71
24 26 87
25 10 88
1 8 84
26 3 55
27 4 83
10 26 32
0 8 28
27 26 73
12 16 96
27 2 69
21 14 2
20 19 10
25 12 65
0 13 26
2 7 50
26 6 64
3 7 64
16 19 66
15 24 10
18 7 67
2 3 18
24 3 76
13 11 70
0 18 9
24 7 55
9 20 92
1 12 81
2 23 14
22 4 84
7 15 50
10 17 74
16 0 47
20 13 49,

29 87
13 22 52
25 13 35
18 11 16
13 3 59
4 22 36
2 16 27
28 3 99
11 16 67
22 4 90
8 5 48
6 23 70
28 18 87
28 14 37
4 23 100
4 24 99
4 0 53
6 9 73
28 27 67
1 12 9
25 4 69
0 5 64
5 3 2
8 24 14
19 7 60
5 27 5
13 23 41
1 9 86
28 0 43
4 20 51
3 17 46
17 25 92
16 21 7
26 23 42
16 11 8
7 2 26
8 2 40
10 2 71
14 10 53
24 25 32
1 13 85
3 5 58
12 27 95
23 20 54
2 1 30
22 18 81
23 21 95
23 9 14
13 22 48
0 7 70
9 22 56
2 15 59
10 12 76
23 16 1
1 7 12
23 27 31
18 3 20
2 18 73
11 20 89
7 1 61
8 26 10
1 27 2
14 23 11
21 20 9
2 20 69
14 0 48
8 27 41
27 8 94
10 14 35
15 27 73
7 10 32
24 27 40
5 7 67
25 26 93
20 24 84
25 9 95
16 2 34
5 11 21
6 16 31
4 7 38
0 24 85
13 15 8
18 3 65
11 18 64
23 3 30
25 12 90
