10
20 76
0 1 27
1 2 29
2 3 20
3 4 36
4 5 78
5 6 100
6 7 94
7 8 16
8 9 84
9 10 26
10 11 46
11 12 64
12 13 59
13 14 73
14 15 82
15 16 2
16 17 96
17 18 68
18 19 30
0 7 47
0 2 52
0 4 43
1 18 9
1 10 71
1 19 95
2 5 8
2 17 73
2 19 32
3 11 33
3 9 89
3 11 30
4 16 92
4 12 23
4 5 78
5 10 71
5 10 12
5 17 25
6 18 9
6 9 67
6 11 8
7 11 30
7 11 75
7 17 62
8 16 13
8 17 7
8 14 82
9 11 26
9 17 15
9 17 11
10 18 26
10 12 70
10 14 77
11 19 39
11 12 75
11 18 15
12 18 57
12 19 83
12 14 76
13 19 79
13 17 1
13 16 97
14 18 77
14 17 64
14 16 43
15 19 66
15 18 83
15 18 34
16 19 32
16 18 36
16 19 72
17 19 81
17 19 15
17 18 63
18 19 41
18 19 64
18 19 23
20 76
0 1 9
1 2 98
2 3 56
3 4 87
4 5 39
5 6 13
6 7 57
7 8 44
8 9 82
9 10 88
10 11 69
11 12 24
12 13 25
13 14 100
14 15 14
15 16 98
16 17 30
17 18 28
18 19 40
0 17 40
0 11 99
0 17 61
1 5 88
1 11 79
1 8 74
2 7 42
2 8 25
2 15 22
3 9 79
3 9 42
3 19 84
4 14 54
4 17 93
4 9 30
5 10 61
5 19 39
5 11 19
6 11 43
6 18 46
6 18 41
7 15 40
7 14 73
7 14 98
8 15 1
8 15 8
8 15 46
9 12 59
9 14 3
9 13 27
10 15 38
10 16 4
10 16 55
11 18 42
11 15 28
11 19 36
12 13 10
12 14 21
12 15 93
13 17 93
13 18 61
13 14 100
14 18 89
14 18 32
14 17 78
15 19 8
15 16 8
15 18 36
16 19 48
16 18 37
16 17 61
17 18 96
17 18 42
17 19 20
18 19 76
18 19 74
18 19 72
20 76
0 1 12
1 2 57
2 3 32
3 4 42
4 5 74
5 6 70
6 7 98
7 8 85
8 9 34
9 10 72
10 11 68
11 12 38
12 13 89
13 14 3
14 15 18
15 16 99
16 17 99
17 18 9
18 19 90
0 11 47
0 15 96
0 7 24
1 12 60
1 9 59
1 13 43
2 9 87
2 11 33
2 3 18
3 7 83
3 17 55
3 16 63
4 17 7
4 18 68
4 5 66
5 11 3
5 15 56
5 6 65
6 19 42
6 19 69
6 14 37
7 17 43
7 18 9
7 19 10
8 18 12
8 17 100
8 10 69
9 12 66
9 11 74
9 17 79
10 14 97
10 12 99
10 17 36
11 19 58
11 14 84
11 17 10
12 14 83
12 17 44
12 16 68
13 19 95
13 17 3
13 17 74
14 17 1
14 19 50
14 15 2
15 17 42
15 19 20
15 18 29
16 19 87
16 18 69
16 18 84
17 18 99
17 19 92
17 18 25
18 19 27
18 19 24
18 19 4
20 76
0 1 69
1 2 78
2 3 6
3 4 100
4 5 17
5 6 70
6 7 45
7 8 9
8 9 42
9 10 41
10 11 30
11 12 85
12 13 27
13 14 26
14 15 39
15 16 21
16 17 55
17 18 35
18 19 30
0 7 99
0 12 4
0 5 57
1 5 49
1 2 57
1 8 49
2 4 58
2 17 52
2 9 27
3 16 76
3 7 12
3 9 65
4 19 75
4 16 67
4 6 21
5 18 27
5 7 63
5 17 78
6 12 96
6 12 54
6 10 27
7 9 65
7 13 62
7 12 66
8 10 59
8 9 1
8 15 54
9 16 13
9 15 47
9 14 9
10 17 84
10 15 30
10 12 84
11 18 61
11 12 36
11 17 6
12 14 32
12 14 73
12 13 17
13 18 20
13 15 89
13 17 98
14 15 8
14 19 27
14 17 48
15 19 21
15 19 23
15 17 67
16 17 95
16 19 24
16 18 15
17 18 4
17 19 27
17 19 52
18 19 34
18 19 4
18 19 43
20 76
0 1 4
1 2 61
2 3 5
3 4 95
4 5 19
5 6 53
6 7 6
7 8 70
8 9 49
9 10 98
10 11 77
11 12 93
12 13 68
13 14 22
14 15 21
15 16 13
16 17 2
17 18 45
18 19 29
0 3 54
0 3 15
0 16 60
1 15 69
1 16 18
1 2 40
2 18 61
2 11 17
2 13 85
3 15 79
3 7 62
3 19 96
4 18 74
4 8 17
4 8 66
5 8 19
5 9 85
5 7 96
6 8 92
6 13 37
6 16 14
7 11 29
7 12 24
7 19 85
8 13 43
8 16 86
8 18 67
9 18 74
9 14 98
9 12 42
10 17 48
10 13 75
10 11 96
11 18 81
11 12 26
11 14 2
12 14 82
12 13 31
12 14 51
13 16 2
13 18 62
13 17 45
14 16 81
14 19 52
14 18 28
15 19 80
15 18 70
15 19 16
16 19 36
16 19 99
16 19 44
17 19 24
17 19 44
17 19 99
18 19 85
18 19 86
18 19 98
20 76
0 1 67
1 2 34
2 3 9
3 4 47
4 5 55
5 6 83
6 7 4
7 8 70
8 9 17
9 10 13
10 11 30
11 12 59
12 13 15
13 14 16
14 15 71
15 16 92
16 17 38
17 18 17
18 19 45
0 10 58
0 14 71
0 3 65
1 7 51
1 18 25
1 6 88
2 10 100
2 3 26
2 14 68
3 8 73
3 5 69
3 15 70
4 8 89
4 13 22
4 10 21
5 7 88
5 8 82
5 16 80
6 10 97
6 18 20
6 15 79
7 14 26
7 12 7
7 14 38
8 15 67
8 15 61
8 16 42
9 12 93
9 14 1
9 11 33
10 19 86
10 15 27
10 12 8
11 18 18
11 14 62
11 14 98
12 19 32
12 16 21
12 18 54
13 17 76
13 15 32
13 16 10
14 16 36
14 16 52
14 15 93
15 17 27
15 19 19
15 18 98
16 18 2
16 19 16
16 19 40
17 18 99
17 19 30
17 19 39
18 19 70
18 19 20
18 19 97
20 76
0 1 93
1 2 44
2 3 35
3 4 6
4 5 49
5 6 33
6 7 15
7 8 81
8 9 60
9 10 55
10 11 75
11 12 22
12 13 91
13 14 89
14 15 63
15 16 98
16 17 38
17 18 29
18 19 67
0 4 12
0 12 31
0 16 90
1 15 54
1 3 82
1 5 99
2 11 93
2 11 33
2 19 43
3 17 86
3 12 46
3 6 2
4 6 92
4 17 63
4 8 75
5 13 29
5 15 56
5 16 35
6 8 100
6 18 63
6 15 78
7 17 49
7 17 67
7 18 49
8 9 78
8 10 76
8 19 13
9 19 13
9 11 98
9 13 47
10 17 51
10 11 45
10 18 59
11 12 52
11 18 86
11 12 28
12 17 24
12 13 81
12 15 13
13 16 53
13 14 94
13 17 33
14 17 88
14 17 46
14 16 36
15 19 7
15 18 59
15 18 99
16 17 27
16 19 99
16 19 83
17 19 95
17 19 97
17 19 100
18 19 64
18 19 43
18 19 79
20 76
0 1 69
1 2 95
2 3 30
3 4 41
4 5 40
5 6 13
6 7 93
7 8 12
8 9 82
9 10 52
10 11 41
11 12 80
12 13 64
13 14 82
14 15 24
15 16 97
16 17 49
17 18 26
18 19 34
0 16 45
0 11 57
0 12 97
1 7 22
1 12 3
1 5 25
2 12 65
2 12 97
2 8 51
3 6 26
3 6 12
3 16 34
4 7 92
4 10 69
4 10 51
5 8 50
5 7 95
5 19 38
6 16 73
6 8 42
6 10 57
7 8 32
7 16 20
7 18 36
8 9 64
8 12 89
8 12 32
9 13 57
9 13 19
9 10 38
10 14 3
10 18 57
10 17 72
11 15 53
11 14 67
11 18 81
12 17 50
12 18 34
12 18 47
13 16 56
13 16 47
13 15 41
14 19 46
14 15 89
14 16 42
15 17 69
15 17 13
15 19 69
16 18 14
16 19 30
16 19 45
17 18 60
17 19 74
17 18 59
18 19 64
18 19 9
18 19 3
20 76
0 1 72
1 2 58
2 3 72
3 4 84
4 5 8
5 6 45
6 7 62
7 8 91
8 9 19
9 10 9
10 11 88
11 12 46
12 13 9
13 14 93
14 15 36
15 16 73
16 17 33
17 18 94
18 19 4
0 16 56
0 5 51
0 7 85
1 16 40
1 19 90
1 11 43
2 10 73
2 19 53
2 7 99
3 14 1
3 5 92
3 15 76
4 6 100
4 6 79
4 6 68
5 12 94
5 8 94
5 9 32
6 16 100
6 19 23
6 9 4
7 18 64
7 19 16
7 13 12
8 10 52
8 18 90
8 19 50
9 16 49
9 17 18
9 15 24
10 12 40
10 16 23
10 17 33
11 19 12
11 14 34
11 18 26
12 14 45
12 18 82
12 13 44
13 17 97
13 14 68
13 16 3
14 19 8
14 19 8
14 17 13
15 17 1
15 16 1
15 18 50
16 18 4
16 19 73
16 18 9
17 18 25
17 19 24
17 18 45
18 19 88
18 19 77
18 19 74
20 76
0 1 23
1 2 57
2 3 91
3 4 99
4 5 23
5 6 65
6 7 20
7 8 57
8 9 4
9 10 80
10 11 5
11 12 69
12 13 16
13 14 40
14 15 38
