10
20 60
8 15 9
4 10 60
14 17 12
4 7 40
18 19 12
3 18 98
15 16 43
1 9 38
5 11 4
0 16 28
14 19 67
16 18 9
8 13 23
11 12 19
3 6 65
9 13 23
4 11 21
6 17 79
5 11 49
2 10 8
9 15 72
1 15 16
1 16 76
16 17 92
12 19 29
3 7 17
2 9 86
2 4 96
3 4 3
1 8 47
8 11 13
13 14 10
2 13 89
6 14 95
11 15 53
16 19 31
2 18 97
3 11 66
4 6 39
17 18 46
13 14 37
0 13 82
4 17 15
0 3 98
9 11 18
8 15 89
0 9 45
0 15 97
5 13 94
6 9 22
6 15 41
4 8 39
7 8 26
0 3 16
8 18 45
4 6 17
0 2 69
4 16 37
1 9 75
3 6 20
20 60
9 14 29
1 2 42
3 7 55
0 17 42
14 17 24
4 9 80
10 12 13
0 15 87
6 9 85
8 12 46
3 12 57
4 9 92
15 18 49
7 9 76
13 17 41
6 13 52
2 15 87
0 5 49
11 13 45
13 18 94
6 14 35
4 14 14
1 9 74
15 16 36
0 18 6
0 16 24
11 14 19
13 18 66
1 14 85
11 13 26
4 11 45
10 18 13
5 19 39
8 19 66
6 10 64
9 17 93
9 13 25
15 17 21
12 15 98
9 10 8
10 12 57
15 17 88
3 18 87
15 19 52
12 18 14
0 1 56
1 5 72
17 18 61
0 15 76
9 16 39
3 4 51
3 12 58
0 10 49
1 16 26
1 7 32
6 11 10
3 8 63
2 16 99
17 19 99
14 19 95
20 60
8 18 8
2 13 48
8 19 31
8 15 12
0 8 36
9 10 74
4 8 23
1 6 21
7 19 16
7 8 19
0 19 5
6 8 37
0 12 33
7 9 27
0 7 40
4 7 15
3 4 25
2 13 47
14 15 72
2 3 21
0 9 34
1 2 41
10 13 5
10 14 89
3 17 31
13 19 34
5 8 65
7 19 58
9 13 53
10 12 88
13 15 88
7 11 75
5 14 81
1 7 33
4 13 27
14 15 16
2 3 72
7 16 92
1 15 3
6 12 91
2 12 93
6 13 35
0 15 18
14 15 95
13 19 33
15 17 48
9 11 88
3 16 86
3 10 70
0 1 83
4 19 88
17 19 81
11 15 92
5 6 36
5 14 83
5 12 49
1 12 80
0 16 56
7 13 28
2 11 54
20 60
5 12 6
14 15 15
