10
20 60
14 2 33
18 4 63
0 13 32
17 16 63
3 1 17
18 6 84
17 14 41
3 16 39
17 9 57
16 3 39
17 8 34
12 5 52
1 8 11
17 6 76
8 11 17
13 19 10
4 18 63
11 17 22
9 1 67
9 17 57
6 17 76
5 19 1
2 14 33
12 0 72
6 4 39
6 18 84
0 12 72
14 17 41
10 16 46
19 5 1
1 3 17
5 17 52
17 5 52
8 1 11
1 9 67
11 8 17
4 6 39
6 4 78
3 6 85
3 6 24
19 17 66
16 10 46
17 19 66
1 7 5
3 17 97
13 0 32
8 17 34
2 5 72
17 3 97
2 16 75
5 2 72
6 3 24
17 11 22
6 3 85
19 13 10
4 6 78
5 12 52
16 2 75
16 17 63
7 1 5
20 60
19 16 21
13 4 41
2 10 82
7 19 10
0 16 92
3 17 53
10 2 82
6 8 92
4 8 29
5 12 45
18 9 71
16 0 92
11 7 87
12 13 4
2 6 81
16 5 94
19 13 91
17 3 53
3 16 45
9 18 71
16 3 45
19 8 13
5 16 94
1 8 93
12 7 49
5 14 57
8 0 13
19 12 62
8 4 29
13 12 4
5 1 41
12 5 45
7 12 49
18 4 34
7 11 87
2 11 43
0 8 13
4 12 73
18 11 85
12 19 62
6 2 81
8 1 93
13 19 91
14 5 57
19 7 10
4 13 69
18 9 63
12 4 73
8 3 69
8 6 92
4 18 34
11 18 85
8 19 13
11 2 43
13 4 69
9 18 63
16 19 21
1 5 41
3 8 69
4 13 41
20 60
19 16 6
11 2 18
0 13 90
9 8 55
7 2 22
9 17 64
0 13 87
16 11 7
15 9 34
2 10 82
12 18 28
19 14 63
11 1 1
16 7 40
10 2 82
2 7 22
16 4 62
1 11 1
2 9 53
7 16 23
13 15 49
11 14 65
15 16 88
11 16 7
15 13 49
18 1 11
14 19 63
3 9 39
5 11 15
0 6 95
3 17 52
14 11 65
9 3 39
17 3 52
19 14 22
9 2 53
17 11 32
0 19 25
7 10 70
8 9 55
11 17 32
16 9 5
7 16 40
16 7 23
11 5 15
16 15 88
13 0 87
4 16 62
13 0 90
14 19 22
16 19 6
2 11 18
10 7 70
18 12 28
19 0 25
9 15 34
9 16 5
6 0 95
1 18 11
17 9 64
20 60
0 7 7
14 19 43
4 5 46
9 11 14
0 15 20
15 6 11
6 15 86
11 13 24
12 13 96
4 13 16
17 15 64
12 5 46
1 10 21
13 0 46
13 4 16
0 13 62
11 9 14
10 4 97
13 12 96
15 2 98
3 6 25
16 12 93
13 10 77
9 1 18
7 8 61
8 17 14
13 11 24
11 0 93
15 6 86
0 13 46
10 1 21
6 3 25
0 3 17
15 17 64
5 4 46
6 15 11
8 7 61
11 12 39
1 9 18
2 15 98
19 14 43
15 0 20
8 3 54
3 0 17
0 3 56
17 8 14
12 16 93
7 0 7
10 13 77
11 4 65
12 4 15
5 12 46
4 11 65
12 11 39
3 8 54
0 11 93
4 10 97
3 0 56
13 0 62
4 12 15
20 60
13 3 24
9 7 29
8 11 36
12 4 5
3 8 90
19 16 24
7 4 16
6 8 19
10 6 37
15 8 78
18 6 81
8 7 99
17 4 43
4 16 24
4 12 5
12 13 68
1 10 24
0 3 88
13 10 62
1 0 7
15 8 47
1 16 55
9 10 15
6 10 37
8 15 78
11 8 36
9 1 15
13 0 79
6 18 81
3 13 24
11 13 32
3 0 88
10 1 24
2 6 7
15 3 90
13 12 68
8 15 47
13 7 26
4 17 43
7 9 29
16 18 78
7 13 26
1 9 15
0 13 79
10 13 62
18 16 78
16 4 24
8 6 19
13 11 32
0 1 7
13 7 80
3 15 90
16 1 55
4 7 16
10 9 15
7 13 80
6 2 7
8 3 90
7 8 99
16 19 24
20 60
17 19 44
16 0 59
1 18 84
19 8 90
19 4 16
0 16 22
13 15 68
6 18 76
12 2 14
15 9 98
11 14 81
13 6 71
11 7 84
16 0 22
15 13 68
8 9 29
8 17 45
16 12 72
1 4 17
14 11 81
8 19 27
4 1 17
1 18 89
16 17 10
5 14 97
4 9 6
8 6 75
3 13 9
4 19 16
8 9 71
0 5 21
18 1 84
5 3 29
3 5 29
17 16 10
5 0 21
7 11 84
6 12 64
2 12 14
9 8 29
14 5 97
17 8 45
8 19 90
12 16 72
19 8 27
17 6 93
6 8 75
3 14 10
12 6 64
9 8 71
18 6 76
6 17 93
18 1 89
0 16 59
9 4 6
13 3 9
9 15 98
19 17 44
6 13 71
14 3 10
20 60
8 4 18
8 1 83
7 14 42
18 6 63
9 5 23
4 2 10
5 15 59
10 9 8
10 2 91
2 10 91
17 0 85
12 8 81
6 18 63
17 1 31
3 12 93
6 7 69
13 7 48
8 6 75
5 9 3
9 1 82
7 13 48
11 0 29
8 17 93
11 19 48
19 11 48
4 15 12
4 13 79
19 17 27
18 3 93
17 19 27
0 3 84
9 5 3
19 12 25
2 4 10
13 4 79
8 5 33
8 12 81
9 10 8
14 7 42
1 9 82
15 5 59
1 8 83
1 17 31
15 4 12
4 8 18
7 6 69
3 0 84
3 18 93
6 8 75
12 4 58
13 7 59
12 19 25
7 13 59
12 3 93
4 12 58
5 9 23
0 11 29
5 8 33
17 8 93
0 17 85
20 60
4 13 1
19 1 20
9 19 37
0 19 2
9 11 29
3 12 63
3 9 46
19 2 43
13 4 1
1 3 70
9 3 46
4 13 86
4 16 94
4 15 98
7 0 30
1 4 32
18 14 21
12 13 19
1 19 20
5 13 68
13 4 86
4 1 32
3 17 95
8 17 81
11 9 29
10 19 24
19 0 2
0 3 2
10 9 62
5 3 29
2 10 26
0 7 30
17 3 95
15 4 98
3 5 29
10 2 26
4 7 8
3 17 3
0 19 13
13 12 19
12 3 63
13 5 68
3 9 66
3 0 2
17 3 3
8 2 19
3 11 11
14 18 21
7 4 8
9 3 66
19 10 24
16 4 94
2 8 19
17 8 81
19 0 13
3 1 70
11 3 11
2 19 43
19 9 37
9 10 62
20 60
11 3 35
0 2 20
8 4 12
11 1 47
11 0 27
13 15 62
4 12 94
16 13 74
15 13 62
7 2 31
2 0 20
4 10 84
10 4 24
1 11 47
12 11 41
13 18 94
19 13 82
4 9 59
15 11 34
2 18 92
2 7 31
11 0 72
1 3 85
3 1 85
6 7 29
4 10 19
17 7 50
4 15 15
9 4 59
15 2 15
10 4 84
18 2 92
17 15 69
0 11 27
13 0 48
1 4 16
4 1 16
17 4 54
13 19 82
15 4 15
14 12 93
4 8 12
18 13 94
12 14 93
12 7 54
13 16 74
0 11 72
3 11 35
10 4 19
11 15 34
4 10 24
2 15 15
7 6 29
0 13 48
7 12 54
15 17 69
4 17 54
12 4 94
7 17 50
11 12 41
20 60
4 11 19
7 2 10
0 12 55
7 9 55
2 3 28
13 6 35
16 4 90
7 1 51
4 5 61
5 17 78
17 5 78
2 11 78
1 19 97
2 18 62
2 7 10
16 5 21
5 1 48
3 2 28
5 16 21
8 18 65
10 14 83
16 12 17
6 12 80
10 12 49
18 2 62
11 2 78
5 19 4
5 9 70
17 14 92
18 8 65
12 0 55
19 5 4
8 5 12
9 7 55
12 6 80
14 2 62
0 9 15
4 16 90
9 5 70
1 4 83
1 5 48
0 18 54
9 15 53
1 7 51
5 4 61
4 1 83
10 0 31
12 16 17
0 10 31
6 13 35
14 17 92
5 8 12
18 0 54
19 1 97
15 9 53
9 0 15
2 14 62
11 4 19
14 10 83
12 10 49
